observation_date,Producer Price Index by Industry: Nitrogenous Fertilizer Manufacturing
1990-01-01,119.867
1991-01-01,126.308
1992-01-01,121.733
1993-01-01,122.925
1994-01-01,136.575
1995-01-01,157.525
1996-01-01,159.067
1997-01-01,160.450
1998-01-01,133.583
1999-01-01,118.592
2000-01-01,144.708
2001-01-01,171.725
2002-01-01,131.650
2003-01-01,177.017
2004-01-01,203.908
2005-01-01,236.875
2006-01-01,245.633
2007-01-01,278.458
2008-01-01,426.950
2009-01-01,275.400
2010-01-01,288.267
2011-01-01,401.725
2012-01-01,433.758
2013-01-01,417.508
2014-01-01,385.833
2015-01-01,364.308
2016-01-01,295.642
2017-01-01,282.967
2018-01-01,304.983
2019-01-01,311.225
2020-01-01,285.142
2021-01-01,415.351
2022-01-01,683.394
2023-01-01,#N/A