m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
840,United States of America,,231,"Hen eggs in shell, fresh",2019,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2018,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2017,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2016,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2015,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2014,7,7%,,,Whole supply chain,,,,Literature Review,"NA (2017), nrdc: wasted - how america is losing up to 40 percent of its food from farm to fork to landfill (pdf)",, Reference has been generated automatically
840,United States of America,,21115,"Meat of sheep, fresh or chilled",2014,13,13%,,Processing,Processing,,,,Literature Review,"NA (2017), nrdc: wasted - how america is losing up to 40 percent of its food from farm to fork to landfill (pdf)",, Reference has been generated automatically
840,United States of America,,21181,"Pig meat, cuts, salted, dried or smoked (bacon and ham)",2014,10,10%,,Processing,Processing,,,,Literature Review,"NA (2017), nrdc: wasted - how america is losing up to 40 percent of its food from farm to fork to landfill (pdf)",, Reference has been generated automatically
840,United States of America,,231,"Hen eggs in shell, fresh",2014,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2013,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2012,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2011,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2010,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2009,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2008,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,2211,Raw milk of cattle,2008,12,12%,,Retailing,Retail,,,,Modelled Estimates,"J.C. Buzby, J. Hyman / Food Policy 37 (2012) 561–570",,
840,United States of America,,2211,Raw milk of cattle,2008,18,18%,,Consumption,Households,,,,Modelled Estimates,"J.C. Buzby, J. Hyman / Food Policy 37 (2012) 561–570",,
840,United States of America,,231,"Hen eggs in shell, fresh",2008,9,9%,,Retailing,Retail,,,,Modelled Estimates,"J.C. Buzby, J. Hyman / Food Policy 37 (2012) 561–570",,
840,United States of America,,231,"Hen eggs in shell, fresh",2008,14,14%,,Consumption,Households,,,,Modelled Estimates,"J.C. Buzby, J. Hyman / Food Policy 37 (2012) 561–570",,
840,United States of America,,21111.01,"Meat of cattle with the bone, fresh or chilled",2008,34,34%,,Consumption,Households,,,,Modelled Estimates,"J.C. Buzby, J. Hyman / Food Policy 37 (2012) 561–570",,
840,United States of America,,231,"Hen eggs in shell, fresh",2007,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2006,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,21121,"Meat of chickens, fresh or chilled",2006,4.5,4.50%,,Retailing,Retail,,,,Literature Review,"Xue Li et al, 2017",,Expanded from loss factor 21156 based on the period_years.
840,United States of America,,231,"Hen eggs in shell, fresh",2005,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,21121,"Meat of chickens, fresh or chilled",2005,4.5,4.50%,,Retailing,Retail,,,,Literature Review,"Xue Li et al, 2017",,Expanded from loss factor 21156 based on the period_years.
840,United States of America,,231,"Hen eggs in shell, fresh",2004,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2003,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2002,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2001,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,
840,United States of America,,231,"Hen eggs in shell, fresh",2000,1.5,1.5,,,Whole supply chain,,,,National Accounts,,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/,